Number,Name,Address,Latitude,Longitude
20,20 - GARDENS POINT RD / SE OF GOODWILL BRIDGE,Gardens Point Rd / SE of Goodwill Bridge,-27.478846,153.028296
62,62 - ANN ST / CHESTER ST,Ann St / Chester St,-27.453195,153.0401
84,84 - NEW FARM FERRY TERMINAL / NEW FARM PARK,New Farm Ferry Terminal / New Farm Park,-27.471481,153.051966
129,129 - LOWER RIVER TCE / PARKLANDS,Lower River Tce / Parklands,-27.478032,153.034186
126,126 - JANE ST / BOUNDARY ST,Jane St / Boundary St,-27.479149,153.012132
123,123 - CHARLOTTE ST / ALBERT ST,Charlotte St / Albert St,-27.471315,153.026627
103,103 - VULTURE ST / THOMAS ST,Vulture St / Thomas St,-27.480768,153.011121
28,28 - GEORGE ST / ADELAIDE ST,George St / Adelaide St,-27.469902,153.022603
60,60 - WICKHAM STREET / BROOKES STREET,Wickham St / Brookes St,-27.453127,153.037559
105,105 - DORNOCH TCE / HARDGRAVE RD,Dornoch Tce / Hardgrave Rd,-27.487155,153.007281
102,102 - BESANT ST / VULTURE ST,Besant St / Vulture St,-27.480885,153.014585
8,8 - RIVERSIDE DR / VICTORIA ST,Riverside Dr / Victoria St,-27.481696,153.000486
124,124 - ANNERLEY ROAD / GROVE ST,Annerley Rd / Grove St,-27.491284,153.027138
25,25 - REDDACLIFF PL / QUEEN ST,Reddacliff Pl / Queen St,-27.471332,153.022991
114,114 - COLCHESTER ST / ERNEST ST,Colchester St / Ernest St,-27.479876,153.021076
7,7 - MARGARET STREET / EDWARD STREET,Margaret St / Edward St,-27.47148,153.029647
76,76 - WATERLOO ST (GASWORKS PARK) / NEWSTEAD TCE,WATERLOO ST (GASWORKS PARK) / NEWSTEAD TCE,-27.448074,153.045762
115,115 - MONTAGUE RD / BRERETON ST,Montague Rd / Brereton St,-27.474227,153.011164
30,30 - ROMA ST / ANN ST,Roma St / Ann St,-27.467963,153.0231
64,64 - SKYRING TCE / CUNNINGHAM ST,Skyring Tce / Cunningham St,-27.44979,153.044925
92,92 - THORNTON ST FERRY TERMINAL / MAIN ST,Thornton St Ferry Terminal / Main St,-27.471025,153.034306
94,94 - GLENELG ST / MERIVALE ST,Glenelg St / Merivale St,-27.478653,153.019123
106,106 - ORLEIGH ST / HOOGLEY ST,Orleigh St / Hoogley St,-27.489807,153.002405
100,100 - MELBOURNE ST / EDMONDSTONE ST,Melbourne St /  Edmondstone St,-27.47666,153.013287
118,118 - MELBOURNE ST / MERIVALE ST,Melbourne St / Merivale St,-27.474755,153.016687
61,61 - WICKHAM ST / MURRI WAY,Wickham St / Murri Way,-27.451793,153.039562
51,51 - BRUNSWICK ST / ALFRED ST,Brunswick St / Alfred St,-27.45663,153.032779
66,66 - COMMERCIAL RD / SKYRING TCE,Commercial Rd / Skyring Tce,-27.45296,153.048107
71,71 - HASTINGS ST / MACQUARIE ST,Hastings St / Macquarie St,-27.460914,153.04987
128,128 - BOUQUET ST / MONTAGUE RD,Bouquet St / Montague Rd,-27.471712,153.013188
13,13 - ALBERT STREET MALL / ADELAIDE STREET,Albert St Mall / Adelaide St,-27.469183,153.024719
36,36 - ROMA STREET / GARRICK STREET,Roma St / Garrick St,-27.466307,153.017351
137,137 - KILROE ST / DORSEY ST,Kilroe St / Dorsey St,-27.472413,153.001803
144,144 - JEPHSON ST / SHERWOOD RD,Jephson St / Sherwood Rd,-27.485075,152.990627
148,148 - SANDFORD ST / AUSTRAL ST,Sandford St / Austral St,-27.492489,152.996768
146,146 - BRISBANE ST / GLEN RD,Brisbane St / Glen Rd,-27.487187,152.993052
79,79 - BALFOUR ST / BRUNSWICK ST,Balfour St / Brunswick St,-27.463431,153.041031
42,42 - WHARF STREET / ADELAIDE STREET,Wharf St / Adelaide St,-27.464647,153.029361
38,38 - ANN ST / CREEK ST,38 - Ann St / Creek St,-27.46588,153.026861
10,10 - EDWARD STREET / QUEEN STREET,Edward St / Queen St,-27.468206,153.026744
19,19 - GARDENS POINT ROAD / ADJ. BRIDGE,Gardens Point Rd / Adj. Bridge,-27.479004,153.028853
14,14 - ALBERT STREET MALL / ELIZABETH STREET,Albert St Mall / Elizabeth St,-27.47011,153.025627
6,6 - ALICE STREET / EDWARD STREET,Alice St / Edward St,-27.472291,153.030639
142,142 - SYLVAN RD / CORONATION DR,Sylvan Rd / Coronation Dr,-27.482081,152.995804
101,101 - RUSSELL ST / EDMONDSTONE ST,Russell St / Edmondstone St,-27.478235,153.015173
45,45 - TURBOT ST / BOWEN ST,Turbot St / Bowen St,-27.462665,153.029087
131,131 - SHAFSTON AVE / THORN ST,Shafston Ave / Thorn St,-27.476792,153.039186
